mountain_no,mountain_name,classification,summit_candidate_id,grounding_assisted_candidate_score,grounding_distance_m,grounding_match_status,candidate_lat,candidate_lon,candidate_ele_m,mountain_elevation_m,track_name,grounding_reason_codes
112,子持山,grounding_response_without_coordinate,summit-candidate:93b30125fa1dcd57,0.38,,grounding_unavailable,33.8920646,132.6706697,62.39020293366199,123,子持山（頂上にたどり着けず）,grounding_response_without_coordinate
113,大峰ヶ台,grounding_response_without_coordinate,summit-candidate:8de328f982753d58,0.57,,grounding_unavailable,33.8440521,132.7412572,117.91000000000001,141,大峰ヶ台,grounding_response_without_coordinate
114,世田山,grounding_far_from_all_candidates,summit-candidate:8f25ad4ff380df77,0.504,2198.4,grounding_contradicted_or_unrelated,33.9820342,133.0334752,346.8866666666666,339,世田山・笠松山東峰・笠松山,grounding_far_from_candidate
115,笠松山,fallback_review_required,summit-candidate:9d5a3bd31bedfeda,0.504,1293.2,grounding_contradicted_or_unrelated,33.9792546,133.0397832,356.6686284540569,357,世田山・笠松山,grounding_far_from_candidate
116,北三方ヶ森,grounding_coordinate_conflict,summit-candidate:80368eea9aabeb96,0.5,,grounding_unavailable,33.9503258,132.8887705,964.82,978,北三方ヶ森,grounding_coordinate_conflict
117,大友山,grounding_coordinate_conflict,summit-candidate:2b56d4ad77a0c4b7,0.63,,grounding_unavailable,33.7484344,132.8072111,404.05,407,大友山,grounding_coordinate_conflict
119,寒風山,grounding_coordinate_conflict,summit-candidate:23eea13de5db5c9f,0.56,,grounding_unavailable,33.8116552,133.2616339,1758.0533333333333,1762,寒風山・笹ヶ峰・ちち山,grounding_coordinate_conflict
120,ちち山,grounding_coordinate_conflict,summit-candidate:453327d51d16e202,0.63,,grounding_unavailable,33.8318164,133.2841218,1850.97,1855,丸山・ちち山・笹ヶ峰,grounding_coordinate_conflict
121,笹ヶ峰,grounding_coordinate_conflict,summit-candidate:453327d51d16e202,0.63,,grounding_unavailable,33.8318164,133.2841218,1850.97,1860,丸山・ちち山・笹ヶ峰,grounding_coordinate_conflict
122,松軒山,grounding_coordinate_conflict,summit-candidate:51a919059b1a6dbb,0.28,,grounding_unavailable,33.0306132,132.399974,194.63,190,由良山,grounding_coordinate_conflict
123,三山,grounding_coordinate_conflict,summit-candidate:35b464661fa62df9,0.56,,grounding_unavailable,34.2803533,133.2279632,323.2966666666667,325,三山,grounding_coordinate_conflict
124,伊勢山,grounding_response_without_coordinate,summit-candidate:bd145a45a7d01b99,0.56,,grounding_unavailable,34.2687521,133.1998766,52.94,57,伊勢山,grounding_response_without_coordinate
125,久司山,grounding_response_without_coordinate,summit-candidate:507809fc1a4b9e4e,0.56,,grounding_unavailable,34.2444484,133.2061963,136.67,142,久司山,grounding_response_without_coordinate
