mountain_no,mountain_name,summit_candidate_id,grounding_refined_score,grounding_bucket,grounding_distance_m,grounding_consensus,grounding_confidence,location_stability_bucket,location_stability_refined_score,candidate_lat,candidate_lon,candidate_ele_m,elevation_diff_m,name_tier,grounding_refined_review_priority,track_name
105,"鞍瀬ノ頭",summit-candidate:846b096132c533d6,0.62,grounding_weakened,5289,single_cluster_consensus,0.99,location_uncertain_keep,0.68,33.7578996,133.086527,1879.9,9.1,strong,deprioritized,"石鎚山・西ノ冠岳・面河の頭・二ノ森・鞍瀬ノ頭"
106,"二ノ森",summit-candidate:fe43b0b6aa90cb8f,0.67,grounding_weakened,6802.5,single_cluster_consensus,0.99,boundary_plausible,0.73,33.7697167,133.1131197,1920.8,9.2,strong,deprioritized,"石鎚山・西ノ冠岳・面河の頭・二ノ森・鞍瀬ノ頭"
107,"面河の頭",summit-candidate:846b096132c533d6,0.56,grounding_weakened,2934.6,single_cluster_consensus,0.97,location_uncertain_keep,0.62,33.7578996,133.086527,1879.9,13.9,strong,deprioritized,"石鎚山・西ノ冠岳・面河の頭・二ノ森・鞍瀬ノ頭"
108,"西ノ冠岳",summit-candidate:846b096132c533d6,0.56,grounding_weakened,2554.4,single_cluster_consensus,0.98,location_uncertain_keep,0.62,33.7578996,133.086527,1879.9,10.1,strong,deprioritized,"石鎚山・西ノ冠岳・面河の頭・二ノ森・鞍瀬ノ頭"
109,"西黒森",summit-candidate:db28fcca36deb720,0.55,grounding_weakened,2643.5,single_cluster_consensus,0.99,location_strong_match,0.61,33.7943958,133.1932944,1892.7,31.7,strong,deprioritized,"男山・瓶ヶ森・西黒森"
110,"小富士",summit-candidate:75832271d4e4d0ba,0.68,grounding_neutral,1177.8,single_cluster_consensus,0.98,missing_location_evidence,0.68,33.8816318,132.6714828,281.5,0.5,strong,high,"小富士"
111,"龍石山",summit-candidate:75832271d4e4d0ba,0.5,grounding_neutral,,no_coordinates,,missing_location_evidence,0.5,33.8816318,132.6714828,281.5,249.5,strong,high,"小富士"
112,"子持山",summit-candidate:93b30125fa1dcd57,0.5,grounding_neutral,,no_evidence,,missing_location_evidence,0.5,33.8920646,132.6706697,62.4,60.6,strong,high,"子持山（頂上にたどり着けず）"
113,"大峰ヶ台",summit-candidate:8de328f982753d58,0.79,grounding_neutral,,no_evidence,,location_strong_match,0.79,33.8440521,132.7412572,117.9,23.1,strong,medium,"大峰ヶ台"
114,"世田山",summit-candidate:8f25ad4ff380df77,0.79,grounding_weakened,2198.4,single_cluster_consensus,0.98,location_strong_match,0.85,33.9820342,133.0334752,346.9,7.9,strong,deprioritized,"世田山・笠松山東峰・笠松山"
115,"笠松山",summit-candidate:9d5a3bd31bedfeda,0.85,grounding_neutral,1293.2,single_cluster_consensus,0.985,location_strong_match,0.85,33.9792546,133.0397832,356.7,0.3,strong,medium,"世田山・笠松山"
116,"北三方ヶ森",summit-candidate:80368eea9aabeb96,0.602,grounding_weakened,2137.7,conflicting_clusters,0.98,location_uncertain_keep,0.62,33.9503258,132.8887705,964.8,13.2,strong,deprioritized,"北三方ヶ森"
